restaurant_name,category,address,road_address,search_keyword
유치회관 분당직영점,한식>해장국,경기도 성남시 분당구 금곡동 341-7,경기도 성남시 분당구 대왕판교로 140,국밥
서현순대 분당본점,"한식>순대,순댓국",경기도 성남시 분당구 서현동 256 1층,경기도 성남시 분당구 서현로180번길 19 1층,국밥
광화문국밥 판교점,한식>국밥,경기도 성남시 분당구 백현동 537 알파돔타워 2층,경기도 성남시 분당구 판교역로 152 알파돔타워 2층,국밥
선영국밥,음식점>한식,경기도 성남시 분당구 정자동 10-1,경기도 성남시 분당구 정자일로213번길 19,국밥
명백집 분당점,한식>국밥,경기도 성남시 분당구 서현동 276-1 103호,경기도 성남시 분당구 황새울로 307 103호,국밥
유치회관 분당직영점,한식>해장국,경기도 성남시 분당구 금곡동 341-7,경기도 성남시 분당구 대왕판교로 140,국밥
서현순대 분당본점,"한식>순대,순댓국",경기도 성남시 분당구 서현동 256 1층,경기도 성남시 분당구 서현로180번길 19 1층,국밥
광화문국밥 판교점,한식>국밥,경기도 성남시 분당구 백현동 537 알파돔타워 2층,경기도 성남시 분당구 판교역로 152 알파돔타워 2층,국밥
선영국밥,음식점>한식,경기도 성남시 분당구 정자동 10-1,경기도 성남시 분당구 정자일로213번길 19,국밥
명백집 분당점,한식>국밥,경기도 성남시 분당구 서현동 276-1 103호,경기도 성남시 분당구 황새울로 307 103호,국밥
유치회관 분당직영점,한식>해장국,경기도 성남시 분당구 금곡동 341-7,경기도 성남시 분당구 대왕판교로 140,국밥
서현순대 분당본점,"한식>순대,순댓국",경기도 성남시 분당구 서현동 256 1층,경기도 성남시 분당구 서현로180번길 19 1층,국밥
광화문국밥 판교점,한식>국밥,경기도 성남시 분당구 백현동 537 알파돔타워 2층,경기도 성남시 분당구 판교역로 152 알파돔타워 2층,국밥
선영국밥,음식점>한식,경기도 성남시 분당구 정자동 10-1,경기도 성남시 분당구 정자일로213번길 19,국밥
명백집 분당점,한식>국밥,경기도 성남시 분당구 서현동 276-1 103호,경기도 성남시 분당구 황새울로 307 103호,국밥
유치회관 분당직영점,한식>해장국,경기도 성남시 분당구 금곡동 341-7,경기도 성남시 분당구 대왕판교로 140,국밥
서현순대 분당본점,"한식>순대,순댓국",경기도 성남시 분당구 서현동 256 1층,경기도 성남시 분당구 서현로180번길 19 1층,국밥
광화문국밥 판교점,한식>국밥,경기도 성남시 분당구 백현동 537 알파돔타워 2층,경기도 성남시 분당구 판교역로 152 알파돔타워 2층,국밥
선영국밥,음식점>한식,경기도 성남시 분당구 정자동 10-1,경기도 성남시 분당구 정자일로213번길 19,국밥
명백집 분당점,한식>국밥,경기도 성남시 분당구 서현동 276-1 103호,경기도 성남시 분당구 황새울로 307 103호,국밥
유치회관 분당직영점,한식>해장국,경기도 성남시 분당구 금곡동 341-7,경기도 성남시 분당구 대왕판교로 140,국밥
서현순대 분당본점,"한식>순대,순댓국",경기도 성남시 분당구 서현동 256 1층,경기도 성남시 분당구 서현로180번길 19 1층,국밥
광화문국밥 판교점,한식>국밥,경기도 성남시 분당구 백현동 537 알파돔타워 2층,경기도 성남시 분당구 판교역로 152 알파돔타워 2층,국밥
선영국밥,음식점>한식,경기도 성남시 분당구 정자동 10-1,경기도 성남시 분당구 정자일로213번길 19,국밥
명백집 분당점,한식>국밥,경기도 성남시 분당구 서현동 276-1 103호,경기도 성남시 분당구 황새울로 307 103호,국밥
유치회관 분당직영점,한식>해장국,경기도 성남시 분당구 금곡동 341-7,경기도 성남시 분당구 대왕판교로 140,국밥
서현순대 분당본점,"한식>순대,순댓국",경기도 성남시 분당구 서현동 256 1층,경기도 성남시 분당구 서현로180번길 19 1층,국밥
광화문국밥 판교점,한식>국밥,경기도 성남시 분당구 백현동 537 알파돔타워 2층,경기도 성남시 분당구 판교역로 152 알파돔타워 2층,국밥
선영국밥,음식점>한식,경기도 성남시 분당구 정자동 10-1,경기도 성남시 분당구 정자일로213번길 19,국밥
명백집 분당점,한식>국밥,경기도 성남시 분당구 서현동 276-1 103호,경기도 성남시 분당구 황새울로 307 103호,국밥
유치회관 분당직영점,한식>해장국,경기도 성남시 분당구 금곡동 341-7,경기도 성남시 분당구 대왕판교로 140,국밥
